Evidenèní èíslo;Název;Cizojazyènı název;Název 35;Název 20;Název 12;Název 7;Název 6;Název 3;Název ISC;Název ZDD;Kvalifikátor;Kvalifikátor - popis;Stav;Stav - popis;Km poloha;TUDU;TTP;Km polohy další;TUDU další;TTP další;X [S-JTSK (-Y)];Y [S-JTSK (-X)];GPS N (DMS);GPS E (DMS);GPS N (DEG);GPS E (DEG);Nadmoøská vıška (Bpv);VÚSC;VÚSC - popis;Vlastník;Provozovatel;Provozní obvod;Provozní obvod - popis;Oblastní øeditelství;Oblastní øeditelství - popis;Operativní øízení;Operativní øízení - popis;Dopravní uzel;Dopravní uzel - popis;Dálkové øízení;Dálkové øízení - popis
349860;Km 138,700;-;Km 138,700;Km 138,700;-;Km138,7;-;-;-;-;73;Hranice pro návrat vozidel ze širé trati;1;Aktivní;138,7;127114;323A;-;-;-;-609393,943;-1167058,089;"N49°07'40,056""";"E16°27'51,357""";N49,127793°;E16,464265°;0;640;Jihomoravskı kraj;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
349928;Teplice nad Beèvou;-;Teplice nad Beèvou;Teplice nad Beèvou z;TEPLICE/BEC.;TEPLNBC;-;-;Teplice nad Beèvou;-;61;Zastávka;1;Aktivní;6,184;236120;308-;-;-;-;-512016,92;-1131980,924;"N49°31'48,030""";"E17°44'54,548""";N49,530008°;E17,748486°;0;710;Olomouckı kraj;Stát;S;100487;Valašské Meziøíèí;316000;Ostrava;100601;CDP Pøerov;;;-;-
349951;Ivanèice letovisko;-;Ivanèice letovisko;Ivanèice letovisko z;IVANCICE LET;IVANLET;-;-;Ivanèice letovisko;-;61;Zastávka;1;Aktivní;3,109;128102;323B;-;-;-;-614309,321;-1170216,06;"N49°05'40,969""";"E16°24'07,525""";N49,094714°;E16,402090°;0;640;Jihomoravskı kraj;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
350025;Troubelice;-;Vıh Troubelice;Vıh Troubelice;TROUBELICE;TROUBLC;TRO;TRO;-;Troubelice;11;Vıhybna;1;Aktivní;19,223;1362F1;311C;-;-;-;-557347,724;-1096909,76;"N49°48'15,722""";"E17°04'34,983""";N49,804367°;E17,076384°;258,625;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;346676;RDP Olomouc
350041;Vítkov;-;Vítkov;Vítkov;VITKOV;VITKOV;VIT;VIT;Vítkov;Vítkov;3;Dopravna D3;1;Aktivní;26,579;1961D1;306C;-;-;-;-509583,071;-1104929,136;"N49°46'27,198""";"E17°44'50,615""";N49,774222°;E17,747393°;0;810;Moravskoslezskı kraj;Stát;S;100354;Ostrava;316000;Ostrava;100601;CDP Pøerov;;;348045;Suchdol nad Odrou
350058;Moravské Budìjovice;-;Moravské Budìjovice;Moravské Budìjovice;M.BUDEJOVICE;MBUDJCE;MBE;MBE;Moravské Budìjovice;Moravské Budìjovice;1;eleznièní stanice;1;Aktivní;138,473;1201G1;322A;138,473;1201G1;322B;-657808,855;-1169377,455;"N49°03'27,266""";"E15°48'33,210""";N49,057574°;E15,809225°;0;630;Kraj Vysoèina;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
350124;Nová Hradeèná;-;Nová Hradeèná;Nová Hradeèná z;N.HRADECNA;NHRADEC;-;-;Nová Hradeèná;-;61;Zastávka;1;Aktivní;23,281;136212;311C;-;-;-;-557293,14;-1093444,981;"N49°50'07,470""";"E17°04'20,133""";N49,835408°;E17,072259°;296,67;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;-;-
350132;hr. Nová Hradeèná;-;hr. Nová Hradeèná;AHr Nová Hradeèná;HR.NV.HRADEC;HRNVHRC;-;-;-;-;35;Automatické hradlo;1;Aktivní;22,771;136212;311C;-;-;-;-557427,122;-1093933,748;"N49°49'51,292""";"E17°04'15,943""";N49,830914°;E17,071095°;289,745;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;-;-
350140;Èermná ve Slezsku;-;Èermná ve Slezsku;Èermná ve Slezsku nz;CERMNA VE SL;CERMVSL;-;-;Èermná ve Slezsku;Èermná ve Slezsku;52;Nákladištì a zastávka;1;Aktivní;29,905;1961E1;306C;-;-;-;-512159,885;-1103137,257;"N49°47'17,210""";"E17°42'34,057""";N49,788114°;E17,709460°;0;810;Moravskoslezskı kraj;Stát;S;100354;Ostrava;316000;Ostrava;100601;CDP Pøerov;;;-;-
350157;Dìdice;-;Dìdice;Dìdice z;DEDICE;DEDICE;-;-;Dìdice;-;61;Zastávka;1;Aktivní;7,529;125102;322B;-;-;-;-664210,981;-1171222,479;"N49°02'03,384""";"E15°43'30,907""";N49,034273°;E15,725252°;494,265;630;Kraj Vysoèina;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
350223;Troubelice zastávka;-;Troubelice zastávka;Troubelice zast. z;TROUBELICE Z;TROUBLZ;-;-;Troubelice zastávka;-;61;Zastávka;1;Aktivní;22,097;136212;311C;-;-;-;-557772,669;-1094500,851;"N49°49'31,897""";"E17°04'01,620""";N49,825527°;E17,067117°;280,981;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;-;-
350249;Klokoèov;-;Klokoèov;Klokoèov z;KLOKOCOV;KLOKOCO;-;-;Klokoèov;-;61;Zastávka;1;Aktivní;20,906;196106;306C;-;-;-;-508360,372;-1109119,721;"N49°44'15,793""";"E17°46'10,776""";N49,737720°;E17,769660°;0;810;Moravskoslezskı kraj;Stát;S;100354;Ostrava;316000;Ostrava;100601;CDP Pøerov;;;-;-
350322;Babice u Šternberka;-;Babice u Šternberka;Babice u Šternb. z;BABICE U ST.;BABCUST;BBC;BBC;Babice u Šternberka;-;61;Zastávka;1;Aktivní;2,545;136202;311C;-;-;-;-544266,808;-1105315,19;"N49°44'27,383""";"E17°16'07,503""";N49,740940°;E17,268751°;259,245;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;-;-
350348;Vratimov;-;Vratimov;Vratimov;VRATIMOV;VRATIMV;VRV;VRV;Vratimov;Vratimov;1;eleznièní stanice;1;Aktivní;10,155;2132E1;302A;-;-;-;-469766,504;-1108867,068;"N49°46'14,754""";"E18°18'10,138""";N49,770765°;E18,302816°;0;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;835033;Vratimov;-;-
350355;Zaryje;-;Zaryje AHr.;AHr Zaryje;-;Zaryje;-;-;-;-;35;Automatické hradlo;1;Aktivní;12,083;213212;302A;-;-;-;-469652,945;-1110563,858;"N49°45'20,365""";"E18°18'23,046""";N49,755657°;E18,306402°;0;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;;;-;-
350413;Vítkovice vıh.è. 144;-;Vítkovice vıh.è. 144;Vítkovice vıh.è.144;Vítkovice144;-;-;-;-;Ostrava-Vítkovice;20;Odboèení v DVM;1;Aktivní;33,038;2561BB;-;-;-;-;-471512,635;-1105101,208;"N49°48'11,387""";"E18°16'27,121""";N49,803163°;E18,274200°;0;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;835041;Ostrava-Vítkovice;350447;Ostrava-Vítkovice
350421;Vítkovice Západní nádraí;-;Vítkovice Západní nádraí;Vítkovice Západní n.;-;-;-;-;-;-;81;Samostatné kolejištì vleèky;1;Aktivní;4,2;-;-;-;-;-;-472521,636;-1104979,794;"N49°48'12,486""";"E18°15'36,297""";N49,803468°;E18,260082°;0;810;Moravskoslezskı kraj;Stát;S;100354;Ostrava;316000;Ostrava;100601;CDP Pøerov;;;-;-
350439;Vítkovice Vıchodní nádraí;-;Vítkovice Vıchodní nádraí;Vítkovice Vıchodní n;-;-;-;-;-;-;81;Samostatné kolejištì vleèky;1;Aktivní;33,6;2561BB;-;-;-;-;-471978,934;-1105010,874;"N49°48'13,008""";"E18°16'03,501""";N49,803613°;E18,267639°;0;810;Moravskoslezskı kraj;Stát;S;100354;Ostrava;316000;Ostrava;100601;CDP Pøerov;;;-;-
350447;Ostrava-Vítkovice;-;Ostrava-Vítkovice;Ostrava-Vítkovice;OSTRAVA-VIT.;OSTRVIT;OVA VI;-;Ostrava-Vítkovice;Ostrava-Vítkovice;1;eleznièní stanice;1;Aktivní;34,048;2561B1;301D;-;-;-;-472375,712;-1105213,828;"N49°48'05,344""";"E18°15'44,571""";N49,801484°;E18,262381°;0;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;835041;Ostrava-Vítkovice;-;-
