@lat	@lon	railway:ref	name
49.2115428	15.0580866	745026	Lovětín obec
49.2118141	15.9821153	365353	Vladislav zastávka
49.2126057	15.9658068	368258	Vladislav
49.2129350	14.2106485	733824	Protivín
49.2134158	14.3920508	740423	Bohunice
49.2152628	15.8044570	344556	Krahulov
49.2158687	16.8993421	343558	Komořany u Vyškova
49.2158803	17.8086160	368159	Zádveřice
49.2160020	17.7696078	370551	Lípa nad Dřevnicí
49.2164059	17.6233098	337659	Zlín-Louky
49.2181902	13.8940183	750224	Přední Zborovice
49.2196289	17.7442062	370650	Želechovice nad Dřevnicí
49.2197935	17.6403193	337857	Zlín-Prštné
49.2200846	17.8429245	368050	Vizovice
49.2207370	16.6264500	333351	Brno-Lesná
49.2209191	17.7154809	337956	Zlín-Příluky
49.2224600	16.0690360	362251	Studenec
49.2227950	15.7583719	354555	Hvězdoňovice
49.2232971	14.4085217	740522	Týn nad Vltavou
49.2234917	15.0625584	745125	Nekrasín
49.2238791	14.1644048	733923	Skály
49.2246892	15.4959011	749507	Sedlejov
49.2258647	17.6915426	337758	Zlín-Podvesná
49.2262602	17.6585683	337550	Zlín střed
49.2288784	17.3156274	369355	Zdounky
49.2292646	17.6724843	355156	Zlín-Dlouhá
49.2303710	18.0430107	336727	Lidečko
49.2306772	16.5961590	333153	Brno-Královo Pole
49.2323573	13.9020183	750125	Radošovice
49.2365089	14.1359582	734020	Heřmaň obec
49.2368768	15.0668753	745224	Nová Včelnice
49.2370219	15.2124826	757625	Počátky-Žirovnice
49.2392711	16.0412321	362350	Pozďatín
49.2428185	16.6734539	330852	Bílovice nad Svitavou
49.2429302	18.0202232	351528	Lužná u Vsetína
49.2439196	16.0249334	363358	Kojatín
49.2444925	14.1394642	731224	Heřmaň
49.2446188	14.1086348	734129	Ražice
49.2463107	17.2897162	369850	Zborovice zastávka
49.2479639	15.7708281	354456	Okříšky
49.2487053	16.9228644	348151	Luleč
49.2493987	14.0571149	734228	Sudoměř u Písku
49.2499006	17.3638463	345355	Šelešovice
49.2506327	16.5900722	333252	Brno-Řečkovice
49.2515434	14.0158684	734327	Čejetice
49.2533996	17.2830513	369454	Zborovice
49.2540450	17.5013205	364752	Tlumačov
49.2551586	13.9163119	761023	Strakonice
49.2554067	14.7256832	735720	Soběslav
49.2564955	13.9761903	734426	Modlešovice
49.2579330	17.9992674	351429	Valašská Polanka
