SR70;Èíslo;Tarifní název;Název 35;Název 20;Název 12;Název 7;Název 3;Zkratka;Km poloha;Kvalifikátor;Kvalifikátor-Popis;Stav;Stav-Popis;Obsazení;TUDU;DDR;DDR-Popis;OOØ;PO;PO-Popis;OØ;OØ-Popis;Vlastník;Provozovatel;Kraj;Kraj-Popis;JTSK Y;JTSK X;GPS X;GPS Y;Dopr. uzel;
340653;34065300;Vl.OMYA Pomezí;Vl.OMYA Pomezí;Vl. OMYA Pomezí;Vl.OMYA;Vl.OMYA;-;-;2,782;81;Samostatné kolejištì vleèky;1;Aktivní;9;-;-;-;100560;100339;Olomouc;317008;Olomouc;266/94Sb§3;266/94Sb§3;710;Olomouckı;-547638,3;-1048636,1;"E17°08'35,683""";"N50°14'41,838""";;-1
581801;58180100;Vl.Oseva Vysoké Mıto;Vleèka Oseva Vysoké Mıto;Oseva Vysoké Mıto;VL. Oseva VM;Oseva;-;-;0,525;81;Samostatné kolejištì vleèky;1;Aktivní;9;1581GA;-;-;100545;100081;Èeská Tøebová;314005;Hradec Králové;Stát;SDC;530;Pardubickı;-621723,938;-1072530,291;"E16°08'57,694""";"N49°57'36,473""";;-1
580324;58032400;Vl.Papírny Bìlá;Vleèka Papírny Bìlá a.s.;Vleèka Papírny;-;PapirBe;-;-;4,526;81;Samostatné kolejištì vleèky;1;Aktivní;9;1101TA;-;-;100552;100255;Liberec;314005;Hradec Králové;266/94Sb§3;266/94Sb§3;210;Støedoèeskı;-704367,015;-1002083,345;"E14°52'45,819""";"N50°29'53,637""";;-1
537886;53788600;Vl.Prefa atec;Vleèka Prefa atec;Vleèka Prefa;-;PREFA;-;-;1,683;81;Samostatné kolejištì vleèky;1;Aktivní;9;0503BA;-;-;100552;100305;Most;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-800373;-1005862;"E13°32'55,979""";"N50°20'40,410""";;-1
559930;55993000;Vl.PREYMESSER Øepov;Vleèka PREYMESSER Øepov;Vleèka Preymesser;-;PREYMES;-;-;0,32;81;Samostatné kolejištì vleèky;1;Aktivní;9;1431PA;-;-;100545;100222;Kolín;311001;Praha;266/94Sb§3;266/94Sb§3;210;Støedoèeskı;-699993;-1012988;"E14°57'37,367""";"N50°24'22,058""";;-1
781666;78166600;Vl.Procter&Gamble;Vleèka Procter&Gamble Rakovník;Vleèka Rakona;-;ProctGm;-;-;0,6;81;Samostatné kolejištì vleèky;1;Aktivní;9;0391FB;-;-;100545;100024;Beroun;311001;Praha;266/94Sb§3;266/94Sb§3;210;Støedoèeskı;-791893;-1034681;"E13°43'32,467""";"N50°05'57,972""";;-1
561381;56138100;Vl.Sázavan Zruè n.S.;Vleèka Sázavan Zruè nad Sázavou;Vleèka Sázavan;-;Sazavan;-;-;0,9;81;Samostatné kolejištì vleèky;1;Aktivní;9;1733CA;-;-;100545;100222;Kolín;311001;Praha;266/94Sb§3;266/94Sb§3;210;Støedoèeskı;-700394;-1087614;"E15°05'19,064""";"N49°44'24,896""";;-1
553925;55392500;Vl.Sklopísek Støeleè;Vleèka Sklopísek Støeleè;Vleèka Sklopísek;-;Eximos;-;-;4,125;81;Samostatné kolejištì vleèky;1;Aktivní;9;1072B1;-;-;100545;100255;Liberec;314005;Hradec Králové;266/94Sb§3;266/94Sb§3;520;Královehradeckı;-678518;-1005313;"E15°14'47,584""";"N50°29'56,891""";;-1
581132;58113200;Vl.STZ Development;Vleèka STZ Development;STZ Development;STZ Develop.;STZ;-;-;0,587;81;Samostatné kolejištì vleèky;1;Aktivní;9;1001PA;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-757932,434;-976571,5;"E14°04'52,603""";"N50°39'36,756""";;-1
752675;75267500;Vl.ŠKODA JS Tøemošná;Vleèka ŠKODA JS, závod Tøemošná;Vl.Škoda JS Tøemošná;-;SkodaJS;-;-;0,9;81;Samostatné kolejištì vleèky;1;Aktivní;9;0501BA;-;-;100552;100198;Karlovy Vary;312009;Plzeò;266/94Sb§3;266/94Sb§3;320;Plzeòskı;-819897,31;-1063888,588;"E13°23'59,423""";"N49°48'09,046""";;-1
