@lat	@lon	railway:ref	name
49.4603341	18.1346342	347823	Rožnov pod Radhoštěm
49.5458407	17.7415914	337329	Hranice na Moravě město
49.5236818	17.8643929	338129	Hustopeče nad Bečvou
49.5038392	17.9328271	352021	Lhotka nad Bečvou
49.5521802	17.6824583	334722	Drahotuše
49.5290594	17.5729994	340422	Lipník nad Bečvou
49.5032673	17.4847822	346528	Prosenice
49.3691952	17.3613195	341057	Chropyně
49.3456117	17.3045570	343061	Kojetín
49.3358810	17.1612530	352856	Nezamyslice
49.3446971	17.2165324	352351	Němčice nad Hanou
49.4082002	17.4161885	341156	Věžky
49.3061204	17.0873922	341453	Ivanovice na Hané
49.2158687	16.8993421	343558	Komořany u Vyškova
49.2487053	16.9228644	348151	Luleč
49.1972970	16.8675465	359059	Rousínov
49.2784123	16.9919145	368951	Vyškov na Moravě
49.3164641	17.4767310	339853	Hulín
49.3020525	17.4027474	344754	Kroměříž
49.2533996	17.2830513	369454	Zborovice
49.2288784	17.3156274	369355	Zdounky
49.2025193	17.5316559	355750	Otrokovice
49.2540450	17.5013205	364752	Tlumačov
49.3790711	17.4536969	359562	Říkovice
49.2200846	17.8429245	368050	Vizovice
49.2262602	17.6585683	337550	Zlín střed
49.2099311	17.5993243	337451	Zlín-Malenovice
49.3932234	17.6653344	335851	Bystřice pod Hostýnem
49.3272424	17.5708454	338558	Holešov
49.4104703	17.7151478	336057	Loukov
49.3175727	17.5195084	340059	Třebětice
48.7539713	16.8932662	334250	Břeclav
49.4594368	17.9058081	332361	Branky na Moravě
49.4401627	17.8185175	346361	Kunovice-Loučka
49.4231724	17.7422872	354753	Osíčko
49.4320976	17.7973224	346460	Rajnochovice
49.1639815	16.7982989	331256	Blažovice
49.1320434	16.6568156	340752	Brno-Chrlice
49.1799823	16.8244906	338855	Holubice
49.1434786	16.8248913	345454	Křenovice horní nádraží
49.1082302	16.7335320	361253	Sokolnice-Telnice
49.1696673	16.6824238	333658	Brno-Slatina
49.1569132	16.7296932	363457	Šlapanice
49.8583883	13.5965009	741553	Radnice
49.1911221	16.6131116	332957	Brno hlavní nádraží
49.1674150	16.6067950	333054	Brno-Horní Heršpice
49.2043077	16.6368668	333955	Brno-Židenice
49.2306772	16.5961590	333153	Brno-Královo Pole
49.3354549	17.9940931	354423	Vsetín
48.7808577	16.0260818	362756	Šatov
48.8528301	16.0586768	369553	Znojmo
49.8804531	18.1711427	332643	Děhylov
49.9482667	15.7868180	546531	Chrudim
49.9574045	14.0763402	730747	Beroun
50.0548886	14.5378599	570960	Praha-Hostivař
49.7403954	17.4448367	334227	Domašov nad Bystřicí
49.8970963	14.7276172	550269	Senohraby
49.8505052	14.7016531	550467	Čerčany
49.7797683	14.6826261	551069	Benešov u Prahy
50.1489310	14.5193465	573360	Praha-Čakovice
49.4723558	14.6692441	552760	Chotoviny
50.1652837	15.7888882	568808	Opatovice nad Labem-Pohřebačka
50.5096914	14.0595830	558593	Lovosice
50.0277133	14.4065333	570168	Praha-Braník
50.6594342	14.0445164	531798	Ústí nad Labem hlavní nádraží
49.3226777	16.2132939	368456	Vlkov u Tišnova
49.8721465	16.8870404	355024	Zábřeh na Moravě
48.8223939	14.3174299	760025	Český Krumlov
49.4545803	16.3360180	352153	Nedvědice
50.1633770	15.4574566	530501	Chlumec nad Cidlinou
49.4285378	14.9534057	007021	Obrataň-JHMD
48.9044924	17.0399060	351452	Mutěnice
49.3009927	16.5346371	346551	Kuřim
49.7149724	13.2094773	745950	Nýřany
48.6495664	14.4316793	752339	Rybník
49.9298251	17.2842644	348326	Rýmařov
50.3352100	14.3716220	543264	Vraňany
49.2953894	16.6634542	330159	Adamov
49.5564523	16.5707648	347252	Letovice
50.1459808	15.3291717	530402	Choťovice
50.1526513	15.4073738	530303	Převýšov
48.8022487	16.6258751	348557	Mikulov na Moravě
50.0641786	14.2977628	540468	Praha-Zličín
50.6771592	14.5326057	568097	Česká Lípa - hlavní nádraží
49.3525292	16.6471477	330951	Blansko
49.1825563	15.4645899	749309	Telč
50.7734783	14.2012960	556597	Děčín hlavní nádraží
49.9894266	15.6426623	557439	Choltice
50.1834890	14.6552195	546465	Brandýs nad Labem
49.1539370	16.4841359	361857	Střelice
49.8579246	16.4972459	539338	Třebovice v Čechách
50.0128773	15.8975538	536532	Kostěnice
49.1719829	16.4088650	363754	Tetčice
49.1338882	16.6062266	349456	Modřice
49.1876144	16.3588463	369157	Zastávka u Brna
49.1080824	16.4628769	359752	Silůvky
49.0850502	16.4291829	349852	Moravské Bránice
48.8259270	16.4939528	354159	Novosedly
48.8234057	16.2877289	332254	Božice u Znojma
48.8413377	16.1643285	338251	Hodonice
48.7377646	16.8671284	332155	Boří les
48.9352605	16.3621972	348755	Miroslav
48.9845456	15.8746353	338053	Grešlové Mýto
48.9230771	15.8740514	363655	Šumná
48.9033525	15.9491330	354654	Olbramkostel
49.3471840	16.4185640	363952	Tišnov
49.4797967	16.6098504	359851	Skalice nad Svitavou
49.3654389	16.3085586	359455	Řikonín
49.0344786	16.5917077	339556	Hrušovany u Brna
48.9638139	16.6051211	368753	Vranovice
49.5626813	15.8477808	359653	Sázava u Žďáru
50.1997801	14.3644193	544361	Libčice nad Vltavou
50.2385412	14.3134087	543967	Kralupy nad Vltavou
48.8894007	16.7813802	369058	Zaječí
48.9127865	16.7065539	362459	Šakvice
49.5541842	15.9394144	370155	Žďár nad Sázavou
48.8373126	16.8537048	356055	Podivín
48.8898329	16.8233109	367656	Velké Pavlovice
48.8926737	17.1987762	358754	Rohatec
48.8561564	17.1223321	338459	Hodonín
48.8279350	17.0619916	348250	Lužice
48.7997435	17.0219136	349555	Moravská Nová Ves
48.7942595	16.8018130	347054	Lednice
48.7325536	16.9625220	346957	Lanžhot
48.9772972	17.3143448	351254	Moravský Písek
48.9765443	16.5157864	356550	Pohořelice
49.0463841	16.3380434	351056	Moravský Krumlov
49.0144440	16.3452933	358358	Rakšice
49.6114077	16.6907376	367557	Velké Opatovice
49.5541960	16.6995906	362855	Šebetov
49.4911908	16.6516703	332056	Boskovice
49.2068374	16.1479577	351759	Náměšť nad Oslavou
49.1923638	16.2034959	344655	Kralice nad Oslavou
49.1835979	16.2573104	358556	Rapotice
49.1331672	17.1141745	352450	Nemotice
49.1491108	17.0803012	352658	Nesovice
49.1457348	16.9997912	335059	Bučovice
49.1448679	16.8736951	361055	Slavkov u Brna
48.9880294	17.1666004	368357	Vlkoš
49.0162210	17.1233551	346759	Kyjov
48.9693005	17.2631505	336156	Bzenec
48.9490308	17.3821548	367953	Veselí nad Moravou
48.9366627	17.2896398	361758	Bzenec přívoz
48.8976864	17.3184808	370957	Strážnice
48.8717116	17.2433368	370858	Sudoměřice nad Moravou
48.8789790	17.5109012	371450	Velká nad Veličkou
48.9096243	17.4578929	371351	Lipov
48.9419613	16.9585927	336354	Čejč
48.9340088	16.8815139	342758	Kobylí na Moravě
49.5991813	15.5881118	542134	Havlíčkův Brod
49.6005540	15.6571074	356378	Pohled
49.5699937	15.7429031	357376	Přibyslav
49.3846707	16.0808811	345751	Křižanov
49.4371313	16.0541631	360552	Sklené nad Oslavou
49.4956605	15.9915841	355057	Ostrov nad Oslavou
49.0943237	15.8656150	341651	Jaroměřice nad Rokytnou
49.0573642	15.8094737	350058	Moravské Budějovice
49.6332551	16.5207351	334375	Březová nad Svitavou
49.8151736	16.4862232	543132	Opatov
49.7594491	16.4794493	543330	Svitavy
48.7477601	16.7429882	366559	Valtice
49.8366315	15.4677538	540831	Golčův Jeníkov
49.8044362	15.4048902	541045	Vlkaneč
49.7611628	15.3984952	541136	Leština u Světlé
49.6701950	15.4170613	541334	Světlá nad Sázavou
49.6304897	15.4877136	541938	Okrouhlice
49.9151159	15.3945738	540443	Čáslav
49.0981197	16.3719018	341255	Ivančice
49.4080888	16.6277047	358051	Rájec-Jestřebí
50.0949203	14.3461337	572669	Praha-Veleslavín
49.8377845	15.9949050	550137	Skuteč
49.2579330	17.9992674	351429	Valašská Polanka
49.5683858	16.0803352	353854	Nové Město na Moravě
49.5133782	16.2484038	335554	Bystřice nad Pernštejnem
49.4729269	16.2450001	359257	Rožná
50.5232008	13.5799150	534099	Třebušice
50.2835208	14.3087996	543660	Nelahozeves
50.0877565	14.4341890	572362	Praha Masarykovo nádraží
49.9278535	16.9385862	330423	Bludov
50.2893333	16.1525570	540104	Dobruška
49.9512384	15.6588816	557132	Heřmanův Městec
49.3311746	13.7387745	738658	Horažďovice předměstí
50.0806470	16.7564431	535005	Králíky
49.9085950	16.6033132	553537	Lanškroun
50.3949743	17.0155950	338624	Javorník ve Slezsku
49.9349665	18.0099851	337543	Kravaře ve Slezsku
50.7210876	15.1609453	550921	Jablonec nad Nisou
50.3564742	15.6348603	555805	Hořice v Podkrkonoší
50.8556642	14.8465159	575225	Hrádek nad Nisou
50.0972208	16.0859592	540500	Borohrádek
49.7429703	16.1615437	550731	Borová u Poličky
50.7752427	14.2235709	556894	Děčín východ
50.6463484	13.8294777	532895	Teplice v Čechách
50.0394159	15.5743193	535138	Přelouč
49.8748536	16.3041564	552133	Litomyšl
49.7206624	17.2862836	349423	Šternberk
50.5108663	13.6581666	533992	Most
49.4139552	14.6767603	736223	Tábor
49.5018519	17.1976695	353425	Vrbátky
49.0987463	17.7520761	347559	Luhačovice
49.0668629	17.4575031	365759	Uherské Hradiště
50.7613941	15.0468351	542126	Liberec
49.0760914	17.4230487	361451	Staré Město u Uherského Hradiště
50.3420340	15.9099307	567701	Jaroměř
49.9344685	17.9080495	341941	Opava východ
50.3955923	16.0537266	575001	Česká Skalice
50.2283753	17.1308985	340521	Lipová Lázně
50.0838432	14.2583234	536565	Hostivice
49.7187329	16.2640066	550632	Polička
49.0151405	14.0084318	738328	Prachatice
49.2554067	14.7256832	735720	Soběslav
50.6186721	15.6226139	572008	Vrchlabí
50.4108720	16.1006018	574806	Starkoč
49.0517311	17.4700640	345959	Kunovice
49.0324976	17.3753748	352054	Nedakonice
49.5508152	17.1179471	350629	Třebčín
49.4787052	17.1115789	357251	Prostějov místní nádraží
50.1045388	13.5981118	761247	Pšovlky
50.5107721	14.2674815	530899	Polepy
50.3281195	16.0959524	539106	Bohuslavice nad Metují
50.1048484	16.7838204	534800	Červený Potok
49.7149521	16.7243852	348375	Městečko Trnávka
49.7789917	17.1159160	351122	Uničov
49.7237024	17.0911579	333120	Červenka
49.8263060	15.9784260	548131	Žďárec u Skutče
49.9056358	16.2060249	552539	Cerekvice nad Loučnou
49.5941100	17.2414179	343723	Olomouc město
49.6377303	17.2016850	336420	Horka nad Moravou
49.6381771	17.1453673	347021	Příkazy
49.6215939	17.0998684	348623	Senice na Hané
49.0943580	18.0363462	334052	Brumov
49.1423727	18.0225516	366351	Valašské Klobouky
49.1890617	18.0580460	336529	Horní Lideč
49.4037326	15.5836515	342253	Jihlava město
48.7251510	14.4478019	752626	Omlenice
50.2427472	14.6344190	530246	Dřísy
50.0989893	16.9894351	339028	Jindřichov na Moravě
50.1470616	17.0147230	331124	Branná
50.2247321	17.0833681	337022	Horní Lipová
50.2275042	17.1935834	338921	Jeseník
50.3079251	17.1024960	355727	Žulová
50.2843415	17.0948533	352427	Vápenná
50.2594840	17.3833700	355222	Zlaté Hory
50.2484214	17.5384337	336446	Jindřichov ve Slezsku
50.1999669	17.5739642	348946	Třemešná ve Slezsku
50.1680802	17.5784039	340349	Město Albrechtice
49.6630266	17.2815568	330928	Bohuňovice
50.0318827	17.0423651	345421	Velké Losiny
50.0004052	17.0300284	345223	Petrov nad Desnou
49.7959243	17.6141216	330845	Budišov nad Budišovkou
49.7742545	17.7477231	350041	Vítkov
49.6695760	17.8334860	341644	Odry
50.1050134	17.4394038	353722	Karlovice
50.1177600	17.3876617	353623	Vrbno pod Pradědem
50.2403701	17.7149908	343145	Bohušov
49.6130788	17.3944594	336024	Hlubočky-Mariánské Údolí
49.5932415	17.3451497	352823	Velká Bystřice
50.5104557	13.4857975	534594	Kyjice
50.3360145	13.9591469	537076	Peruc
50.7952770	14.2330500	556092	Děčín-Prostřední Žleb
49.4201988	12.8396983	735555	Trhanov
50.1549136	15.5612682	530709	Káranice
50.1594907	15.6569084	530808	Dobřenice
50.1749106	15.7317980	531103	Praskačka
50.5183763	14.9783026	543512	Mnichovo Hradiště
50.4413971	15.1322705	559112	Dolní Bousov
50.4902984	15.3032277	553909	Libuň
50.5160936	15.4870843	566406	Stará Paka
50.5836952	15.6225766	569400	Kunčice nad Labem
50.6263422	16.2424465	537100	Meziměstí
